date,symbol,variety,open,high,low,close,settle,pre_settle,volume,open_interest,turnover,source,source_url
2025-10-24,SN2606,SN,283190,284880,282550,284080,283940,280900,29,80,823.434,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20251024.dat
2025-10-24,SN2607,SN,284280,284550,282750,283700,283860,280850,22,28,624.509,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20251024.dat
2025-10-24,SN2608,SN,284040,284040,282010,283710,283500,281340,42,61,1190.728,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20251024.dat
2025-10-24,SN2609,SN,284720,284720,283640,283700,283760,282000,13,21,368.888,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20251024.dat
2025-10-24,SN2610,SN,,,,282590,282590,282590,0,4,0,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20251024.dat
2025-10-27,SN2511,SN,282550,289110,281600,286150,284410,282940,31077,9032,883886.949,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20251027.dat
2025-10-27,SN2512,SN,283260,289590,282030,286720,284960,283460,102206,45084,2912473.715,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20251027.dat
2025-10-27,SN2601,SN,283900,289670,282260,286920,285570,283540,17266,14333,493077.993,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20251027.dat
2025-10-27,SN2602,SN,283680,289720,282440,287010,286180,283470,4195,3920,120055.18,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20251027.dat
2025-10-27,SN2603,SN,283750,289500,282440,286660,285840,283650,917,2066,26211.648,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20251027.dat
2025-10-27,SN2604,SN,282560,289340,282380,286800,285740,283520,523,1011,14944.301,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20251027.dat
2025-10-27,SN2605,SN,282540,289180,282540,287120,285860,283510,207,293,5917.339,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20251027.dat
2025-10-27,SN2606,SN,283150,289090,282190,288220,285380,283940,44,75,1255.709,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20251027.dat
2025-10-27,SN2607,SN,282490,288040,282490,286940,283630,283860,16,28,453.823,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20251027.dat
2025-10-27,SN2608,SN,283300,286790,283300,286790,284540,283500,9,63,256.094,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20251027.dat
2025-10-27,SN2609,SN,283670,286710,282550,286710,283740,283760,12,23,340.492,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20251027.dat
2025-10-27,SN2610,SN,283790,283790,282920,282920,283290,282590,3,7,84.988,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20251027.dat
2025-10-28,SN2511,SN,287050,287150,281680,282780,284610,284410,13883,6200,395128.009,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20251028.dat
2025-10-28,SN2512,SN,287050,287690,282160,283170,284870,284960,88270,40436,2514565.028,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20251028.dat
2025-10-28,SN2601,SN,287290,287850,282350,283420,284800,285570,18851,16114,536882.593,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20251028.dat
2025-10-28,SN2602,SN,287050,287770,282380,283450,285010,286180,3106,4367,88527.169,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20251028.dat
2025-10-28,SN2603,SN,287000,287600,282220,283060,284650,285840,722,2158,20552.255,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20251028.dat
2025-10-28,SN2604,SN,286750,287450,282200,283060,284960,285740,506,1093,14419.151,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20251028.dat
2025-10-28,SN2605,SN,287260,287300,282260,282480,284500,285860,140,335,3983.047,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20251028.dat
2025-10-28,SN2606,SN,285800,286110,282140,282140,284760,285380,41,87,1167.556,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20251028.dat
2025-10-28,SN2607,SN,284440,285210,283780,284520,284560,283630,18,28,512.216,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20251028.dat
2025-10-28,SN2608,SN,284480,284480,284240,284240,284360,284540,2,63,56.872,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20251028.dat
2025-10-28,SN2609,SN,285800,285800,282600,282600,284420,283740,12,22,341.312,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20251028.dat
2025-10-28,SN2610,SN,283000,283000,283000,283000,283000,283290,1,8,28.3,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20251028.dat
2025-10-29,SN2511,SN,284070,286920,284070,286170,285630,284610,5683,5215,162326.672,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20251029.dat
2025-10-29,SN2512,SN,284880,287390,284690,286720,286250,284870,77861,41157,2228774.446,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20251029.dat
2025-10-29,SN2601,SN,285110,287500,284800,286950,286360,284800,18350,18570,525481.537,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20251029.dat
